Stock_Price,Strike_Price,Time_to_Maturity,Interest_Rate,Option_Price,Option_Type,Volatility,Implied Volatility
29.21,30,35,0.0026,2.5,0,0.177977554,0.6099
29.21,35,35,0.0026,0.17,0,0.177977554,0.4815
29.21,30,126,0.0026,2.89,0,0.177977554,0.3247
29.21,35,126,0.0026,0.22,0,0.177977554,0.3066
29.21,30,126,0.0026,1.1,1,0.177977554,0.6519
29.21,35,126,0.0026,5.6,1,0.177977554,0.6636
78.02,80,0,0.0026,0.2,0,0.189614633,0.4336
78.02,70,91,0.0026,5.8,0,0.189614633,0.3335
78.02,75,91,0.0026,3.4,0,0.189614633,0.2654
78.02,80,91,0.0026,2,0,0.189614633,0.2046
78.02,80,182,0.0026,2.5,0,0.189614633,0.1943
78.02,60,91,0.0026,1.1,1,0.189614633,0.3962
78.02,70,91,0.0026,1.15,1,0.189614633,0.2747
78.02,75,91,0.0026,2.6,1,0.189614633,0.2181
78.02,70,182,0.0026,2.95,1,0.189614633,0.2593
78.02,75,182,0.0026,4.6,1,0.189614633,0.2407
21.67,22.5,0,0.0026,0.4,0,0.403763841,0.6328
21.67,22.5,35,0.0026,0.8,0,0.403763841,0.4678
21.67,25,35,0.0026,0.3,0,0.403763841,0.501
21.67,20,91,0.0026,4.3,0,0.403763841,0.4243
21.67,22.5,91,0.0026,1.65,0,0.403763841,0.4072
21.67,25,91,0.0026,0.58,0,0.403763841,0.4126
21.67,20,182,0.0026,2.4,0,0.403763841,0.419
21.67,30,182,0.0026,0.3,0,0.403763841,0.419
21.67,22.5,0,0.0026,1.15,1,0.403763841,0.8477
21.67,20,35,0.0026,0.51,1,0.403763841,0.5503
21.67,22.5,35,0.0026,2.6,1,0.403763841,0.5234
21.67,25,35,0.0026,3.3,1,0.403763841,0.5723
21.67,17.5,91,0.0026,0.65,1,0.403763841,0.5171
21.67,20,91,0.0026,1.55,1,0.403763841,0.4502
21.67,22.5,91,0.0026,2.45,1,0.403763841,0.419
21.67,25,91,0.0026,4.3,1,0.403763841,0.4648
21.67,22.5,182,0.0026,1.2,1,0.403763841,0.4023
21.67,25,182,0.0026,2.25,1,0.403763841,0.4165
73.54,65,35,0.0026,3.1,0,0.179067945,0.6316
73.54,67.5,35,0.0026,3.03,0,0.179067945,0.376
73.54,70,35,0.0026,0.95,0,0.179067945,0.2358
73.54,72.5,35,0.0026,1.95,0,0.179067945,0.2166
73.54,50,63,0.0026,17.4,0,0.179067945,0.5444
73.54,55,63,0.0026,14.5,0,0.179067945,0.7935
73.54,62.5,63,0.0026,6,0,0.179067945,0.5669
73.54,65,63,0.0026,2.95,0,0.179067945,0.355
73.54,67.5,63,0.0026,5.7,0,0.179067945,0.2819
73.54,70,63,0.0026,1.75,0,0.179067945,0.2142
73.54,72.5,63,0.0026,1.95,0,0.179067945,0.1748
73.54,60,154,0.0026,4.69,0,0.179067945,0.4023
73.54,62.5,154,0.0026,4.21,0,0.179067945,0.3781
73.54,65,154,0.0026,4.25,0,0.179067945,0.3431
73.54,67.5,154,0.0026,5.7,0,0.179067945,0.2507
73.54,70,154,0.0026,1.65,0,0.179067945,0.195
73.54,75,154,0.0026,1.05,0,0.179067945,0.1795
