time,DATE,Hour,Min,Sec,PRICE,SIZE,daytime,log_return
2010-02-01 09:30:00,14271142710,6390,22516,21921,37492.54220000012,239197,66173521.0,
2010-02-01 09:35:00,20783607834,9306,38334,31235,54655.60780000023,180454,96924635.0,0.37690978381845186
2010-02-01 09:40:00,16462064619,7371,34468,24023,43091.23010000001,132161,77180823.0,-0.23773232390294743
2010-02-01 09:45:00,23175531753,10377,54093,30120,60994.1526000001,191897,109209420.0,0.3474585021151331
2010-02-01 09:50:00,17085170850,7650,44192,25967,45045.15830000007,150566,80945167.0,-0.30311249620140635
2010-02-01 09:55:00,8200882008,3672,23161,9665,21556.40590000005,67793,39045765.0,-0.736992474442651
2010-02-01 10:00:00,22632826326,11260,1774,34657,59547.90679999988,172188,112812057.0,1.0161081149715574
2010-02-01 10:05:00,13306333062,6620,4771,18269,34946.334700000014,103119,66695369.0,-0.5329675543846045
2010-02-01 10:10:00,13587735876,6760,8200,19172,35814.43300000008,113253,68439172.0,0.024537378080476478
2010-02-01 10:15:00,9286292862,4620,7743,14369,24536.53850000003,69570,46988669.0,-0.37818759467172974
2010-02-01 10:20:00,24461944617,12170,26190,35382,64825.23790000007,180171,124354382.0,0.97153162738465
2010-02-01 10:25:00,10954609545,5450,14728,13483,29054.737699999983,108345,55986283.0,-0.802513443518199
2010-02-01 10:30:00,21527315271,10710,34185,29238,56999.042300000045,186730,110547738.0,0.6738529081587703
2010-02-01 10:35:00,17647976478,8780,32407,29994,46819.24839999997,132271,91070694.0,-0.196740056973917
2010-02-01 10:40:00,13828938288,6880,29087,19908,36655.620500000114,123522,71728608.0,-0.24472763631933225
2010-02-01 10:45:00,9286292862,4620,21551,13256,24665.463500000013,68693,48368356.0,-0.39616274632636905
2010-02-01 10:50:00,12743527434,6340,32715,20041,33873.066499999964,141429,66691541.0,0.31721617376071143
2010-02-01 10:55:00,28703087028,14280,80426,50410,75971.6137000001,235642,150893010.0,0.8077395664888842
2010-02-01 11:00:00,15859058589,8679,1048,20138,41912.05649999995,129925,86914938.0,-0.5947862364013751
2010-02-01 11:05:00,13024930248,7128,4627,19687,34531.78519999998,103254,71762387.0,-0.19369332013107352
2010-02-01 11:10:00,8622986229,4719,4990,11686,22838.73729999995,81961,47700686.0,-0.4134221113654257
2010-02-01 11:15:00,8381783817,4587,6958,13713,22219.234200000017,62815,46579513.0,-0.027499779499989326
2010-02-01 11:20:00,11879218791,6501,12599,16572,31546.484300000015,95787,66286472.0,0.3505038309604239
2010-02-01 11:25:00,14512345122,7942,19422,20746,38578.763999999945,124393,81382946.0,0.20123981950778536
2010-02-01 11:30:00,9185791857,5027,14490,12247,24362.62399999994,64577,51731247.0,-0.45965181502897706
2010-02-01 11:35:00,8341583415,4565,15358,13355,22065.6866,72109,47199155.0,-0.099026395219114
2010-02-01 11:40:00,4663246632,2552,9787,5077,12331.923600000006,35416,26503777.0,-0.5818324446508849
2010-02-01 11:45:00,8602886028,4708,20036,13836,22712.311699999973,80994,49097436.0,0.6107158283586778
2010-02-01 11:50:00,5246152461,2871,13482,6586,13847.442799999999,38768,30064786.0,-0.49480656289196234
2010-02-01 11:55:00,9648096480,5280,27257,11847,25424.146099999896,76937,55537547.0,0.6075987761094723
2010-02-01 12:00:00,6432064320,3840,579,7326,16944.385799999975,52113,38465226.0,-0.40576279859489867
2010-02-01 12:05:00,6130561305,3660,2165,10468,16160.961100000037,44893,36826968.0,-0.04733803238730586
2010-02-01 12:10:00,5125551255,3060,2999,6946,13495.52760000002,45397,30906846.0,-0.1802401836671343
2010-02-01 12:15:00,5045150451,3012,4358,8081,13288.41969999998,41699,30563881.0,-0.015465384966387927
2010-02-01 12:20:00,3718537185,2220,4104,5998,9789.600900000009,39160,22616398.0,-0.30557226707720586
2010-02-01 12:25:00,5829058290,3480,7933,7684,15357.862400000007,55170,35600984.0,0.4503068617446653
2010-02-01 12:30:00,12622926228,7536,20354,23693,33332.48150000002,118656,77419093.0,0.774904790625167
2010-02-01 12:35:00,5326553265,3180,9737,7128,14069.245400000022,44954,32780828.0,-0.8625411041461832
2010-02-01 12:40:00,6331563315,3780,13109,7567,16708.46269999999,43641,39118467.0,0.1719241017247758
2010-02-01 12:45:00,5406954069,3228,12596,5596,14284.405800000002,45728,33545196.0,-0.15674690083424875
2010-02-01 12:50:00,7497374973,4476,19242,13246,19816.010500000004,57541,46697446.0,0.32732178332397527
2010-02-01 12:55:00,4221042210,2520,12065,6173,11141.49699999998,33262,26412673.0,-0.5758136159804833
2010-02-01 13:00:00,6190861908,4004,428,7203,16319.84809999992,52056,40090003.0,0.3817054358133172
2010-02-01 13:05:00,5205952059,3367,1871,7033,13734.137799999995,39012,33864133.0,-0.17249749825293198
2010-02-01 13:10:00,4884348843,3159,2809,6357,12893.702000000025,37903,31877257.0,-0.06314556854505407
2010-02-01 13:15:00,8844088440,5720,7640,14924,23341.101699999974,157054,57978924.0,0.5934768528757389
2010-02-01 13:20:00,9366693666,6058,9774,13427,24789.63549999993,80235,61570827.0,0.060209814457165466
2010-02-01 13:25:00,5668256682,3666,7670,7920,14977.499599999977,56740,37434920.0,-0.5038765941603047
2010-02-01 13:30:00,5346653466,3458,8534,7612,14112.894599999976,44484,35441012.0,-0.059460158156879876
